Date,Close,Compound,Open,High,Low
03/11/2021,$3113.59,0.1531,$3104.01,$3131.7843,$3082.93
03/10/2021,$3057.64,0,$3098.45,$3116.46,$3030.05
03/09/2021,$3062.85,0.5859,$3017.99,$3090.96,$3005.1474
03/08/2021,$2951.95,0.34,$3015,$3064.59,$2951.31
03/05/2021,$3000.46,-0.5106,$3005,$3009,$2881.0001
03/04/2021,$2977.57,0,$3012,$3058.13,$2945.43
03/03/2021,$3005,0,$3081.18,$3107.775,$2995
03/02/2021,$3094.53,-0.3612,$3143.47,$3163.52,$3087.1201
03/01/2021,$3146.14,0.743,$3127.89,$3149.56,$3097.99
02/26/2021,$3092.93,0.6808,$3095.2,$3122.44,$3036.7
02/25/2021,$3057.16,0,$3136.74,$3178.26,$3047.76
02/24/2021,$3159.53,0.0772,$3166.75,$3171.23,$3125.38
02/23/2021,$3194.5,0,$3127.03,$3204.73,$3093.6
02/22/2021,$3180.74,0,$3208.13,$3232.3199,$3172.26
02/19/2021,$3249.9,0.2732,$3328.23,$3333.5,$3245.75
02/18/2021,$3328.23,0.2023,$3282.42,$3338,$3273.94
02/17/2021,$3308.64,0.1779,$3263.6,$3320.91,$3259.4996
02/16/2021,$3268.95,-0.4019,$3254.05,$3308.3,$3253.591
02/12/2021,$3277.71,0,$3250,$3280.25,$3233.31
02/11/2021,$3262.13,0,$3292,$3292,$3248.06
02/10/2021,$3286.58,0.34,$3314,$3317.9548,$3254
02/09/2021,$3305,0,$3312.49,$3338,$3297.84
02/08/2021,$3322.94,0,$3358.5,$3364.9999,$3304
02/05/2021,$3352.15,0,$3319,$3377,$3302.71
02/04/2021,$3331,0,$3330,$3347,$3277.75
02/03/2021,$3312.53,0.4215,$3425.01,$3434,$3308.62
02/02/2021,$3380,0.1779,$3380,$3427.74,$3361.125
02/01/2021,$3342.88,0,$3242.36,$3350.26,$3235.025
01/29/2021,$3206.2,0,$3230,$3236.99,$3184.55
01/28/2021,$3237.62,0.4939,$3235.04,$3301.68,$3228.69
01/27/2021,$3232.58,0,$3341.49,$3346.52,$3207.08
01/26/2021,$3326.13,0.3818,$3296.356,$3338,$3282.87
01/25/2021,$3294,0.1779,$3328.5,$3363.89,$3243.1463
01/22/2021,$3292.23,0,$3304.31,$3321.91,$3283.1644
01/21/2021,$3306.99,0.1779,$3293,$3348.55,$3289.5675
01/20/2021,$3263.38,0.4588,$3181.99,$3279.8,$3175
01/19/2021,$3120.76,0.2263,$3107,$3145,$3096
01/15/2021,$3104.25,0,$3123.02,$3142.545,$3095.17
01/14/2021,$3127.47,0,$3167.52,$3177.9999,$3120.59
01/13/2021,$3165.89,0.2023,$3128.44,$3189.95,$3122.08
01/12/2021,$3120.83,0.3182,$3120,$3142.1418,$3086
01/11/2021,$3114.21,0.5574,$3148.01,$3156.3841,$3110
01/08/2021,$3182.7,0,$3180,$3190.64,$3142.2
01/07/2021,$3162.16,0.1779,$3157,$3208.542,$3155
01/06/2021,$3138.38,-0.2732,$3146.48,$3197.509,$3131.16
01/05/2021,$3218.51,0.0772,$3166.01,$3223.38,$3165.06
01/04/2021,$3186.63,0,$3270,$3272,$3144.02
12/31/2020,$3256.93,0.4404,$3275,$3282.9219,$3241.2
12/30/2020,$3285.85,-0.5719,$3341,$3342.1,$3282.47
12/29/2020,$3322,0.3612,$3309.94,$3350.65,$3281.223
12/28/2020,$3283.96,0,$3194,$3304,$3172.69
12/24/2020,$3172.69,0,$3193.9,$3202,$3169
12/23/2020,$3185.27,0.2023,$3205,$3210.13,$3184.17
12/22/2020,$3206.52,0,$3202.843,$3222,$3180.08
12/21/2020,$3206.18,0.25,$3200.01,$3226.9666,$3166
12/18/2020,$3201.65,0,$3243.99,$3249.42,$3171.6
12/17/2020,$3236.08,0.4404,$3250,$3263.51,$3221
12/16/2020,$3240.96,0,$3176.01,$3247,$3163.68
12/15/2020,$3165.12,0.1779,$3181.01,$3188.4999,$3130.49
12/14/2020,$3156.97,0,$3143,$3190.47,$3126
12/11/2020,$3116.42,0.5106,$3096.66,$3118.67,$3072.82
12/10/2020,$3101.49,0.5106,$3088.99,$3142.1,$3076
12/09/2020,$3104.2,0,$3167.89,$3174.43,$3088
12/08/2020,$3177.29,0,$3158.9,$3184.13,$3120.02
12/07/2020,$3158,-0.128,$3156.48,$3180.76,$3141.69
12/04/2020,$3162.58,-0.128,$3198.21,$3198.21,$3158.76
12/03/2020,$3186.73,0,$3205.46,$3228.64,$3181.31
12/02/2020,$3203.53,-0.128,$3221.65,$3232,$3173.2601
12/01/2020,$3220.08,0,$3188.5,$3248.95,$3157.18
11/30/2020,$3168.04,0,$3208.48,$3228.39,$3125.55
11/27/2020,$3195.34,-0.296,$3211.26,$3216.19,$3190.05
11/25/2020,$3185.07,-0.25,$3141.87,$3198,$3140.26
11/24/2020,$3118.06,0,$3100.5,$3134.25,$3086.258
11/23/2020,$3098.39,0,$3116.699,$3139.745,$3065.46
11/20/2020,$3099.4,-0.2263,$3117.02,$3132.89,$3098.0456
11/19/2020,$3117.02,0.1779,$3105.31,$3125,$3080.92
11/18/2020,$3105.46,0,$3134,$3140,$3105.1
11/17/2020,$3135.66,0.4404,$3183.545,$3189.25,$3135.26
11/16/2020,$3131.06,0.5267,$3093.2,$3142.7,$3072.685
11/13/2020,$3128.81,0,$3122,$3141.7227,$3085.39
11/12/2020,$3110.28,0.6369,$3159.95,$3175.88,$3086.05
11/11/2020,$3137.39,-0.296,$3061.78,$3139.145,$3050
11/10/2020,$3035.02,0,$3095.02,$3114,$3019.4828
11/09/2020,$3143.74,0.5106,$3231.03,$3289,$3112.1057
11/06/2020,$3311.37,0.7783,$3304.64,$3322,$3232
11/05/2020,$3322,0.2023,$3319.97,$3366.8,$3288.88
11/04/2020,$3241.16,0,$3159.99,$3244.85,$3139.73
11/03/2020,$3048.41,0.5106,$3018.53,$3074.9,$2980.98
11/02/2020,$3004.48,0.4215,$3061.74,$3079.705,$2950.12
10/30/2020,$3036.15,-0.5859,$3157.75,$3167.004,$3019
10/29/2020,$3211.01,-0.2263,$3201.27,$3257.25,$3164
10/28/2020,$3162.78,-0.6808,$3249.3,$3264.02,$3162.47
10/27/2020,$3286.33,0.4215,$3224.94,$3291.66,$3211.3
10/26/2020,$3207.04,-0.6597,$3198.74,$3282.9799,$3153.3
10/23/2020,$3204.4,0.0258,$3191,$3205.33,$3140
10/22/2020,$3176.4,0,$3189.87,$3198.75,$3121.94
10/21/2020,$3184.94,-0.5106,$3212.5,$3233.875,$3160
10/20/2020,$3217.01,0,$3222.28,$3266,$3192.01
10/19/2020,$3207.21,0,$3299.61,$3329,$3192.735
10/16/2020,$3272.71,0.2023,$3363.23,$3399.6606,$3160
10/15/2020,$3338.65,0.7506,$3292.01,$3355.88,$3280
10/14/2020,$3363.71,0,$3447,$3464.88,$3340
10/13/2020,$3443.63,0.5256,$3467.99,$3492.38,$3424.217
