Date,Close,Compund,Open,High,Low
03/11/2021,$2114.77,0.1531,$2074.06,$2125.7,$2072.38
03/10/2021,$2055.03,-0.4767,$2071.76,$2075,$2033.37
03/09/2021,$2052.7,-0.4019,$2070,$2078.04,$2047.83
03/08/2021,$2024.17,0.5574,$2101.13,$2128.81,$2021.61
03/05/2021,$2108.54,-0.25,$2073.12,$2118.11,$2046.415
03/04/2021,$2049.09,0,$2023.37,$2089.24,$2020.27
03/03/2021,$2026.71,0.6808,$2067.21,$2088.518,$2010
03/02/2021,$2075.84,0,$2076.19,$2104.37,$2071.26
03/01/2021,$2081.51,0.4927,$2056.52,$2086.52,$2046.1
02/26/2021,$2036.86,0.4404,$2050.52,$2071.0099,$2016.06
02/25/2021,$2031.36,0,$2067.45,$2094.88,$2021.29
02/24/2021,$2095.17,0.2023,$2041.83,$2100.78,$2038.13
02/23/2021,$2070.86,-0.4019,$2025.01,$2082.01,$2002.02
02/22/2021,$2064.88,0,$2067,$2091.42,$2062.14
02/19/2021,$2101.14,0.3612,$2119.27,$2130.53,$2097.41
02/18/2021,$2117.2,0.5106,$2110.39,$2132.735,$2103.71
02/17/2021,$2128.31,0,$2100,$2133.66,$2098.92
02/16/2021,$2121.9,0,$2104.36,$2152.68,$2104.36
02/12/2021,$2104.11,0,$2090.25,$2108.82,$2083.13
02/11/2021,$2095.89,0,$2099.51,$2102.03,$2077.32
02/10/2021,$2095.38,-0.296,$2094.21,$2108.37,$2063.09
02/09/2021,$2083.51,0,$2078.54,$2105.13,$2078.54
02/08/2021,$2092.91,0,$2105.91,$2123.5469,$2072
02/05/2021,$2098,0.1779,$2070,$2102.51,$2059.33
02/04/2021,$2062.37,0.4404,$2068.89,$2078.55,$2042.59
02/03/2021,$2070.07,-0.3182,$2073,$2116.5,$2018.38
02/02/2021,$1927.51,0.0772,$1922.56,$1955.76,$1914.49
02/01/2021,$1901.35,-0.4588,$1853.57,$1922.3918,$1850.93
01/29/2021,$1835.74,0,$1846.17,$1857.28,$1810.2
01/28/2021,$1863.11,0.5106,$1843.94,$1898.83,$1842.64
01/27/2021,$1830.79,0,$1882.53,$1890,$1809
01/26/2021,$1917.24,-0.4023,$1888.84,$1925,$1884.245
01/25/2021,$1899.4,-0.128,$1920.67,$1929.58,$1867.53
01/22/2021,$1901.05,0,$1895.68,$1910.95,$1881.76
01/21/2021,$1891.25,0,$1898,$1934.86,$1887.11
01/20/2021,$1886.9,0,$1831.46,$1903.71,$1825.53
01/19/2021,$1790.86,0,$1752.25,$1809.275,$1741.46
01/15/2021,$1736.19,0.34,$1738.19,$1756,$1721.55
01/14/2021,$1740.18,0.5106,$1753.62,$1775.01,$1733.4
01/13/2021,$1754.4,0,$1738.58,$1765.035,$1738.01
01/12/2021,$1746.55,-0.5423,$1753.92,$1778.04,$1725.31
01/11/2021,$1766.72,0.5267,$1786.07,$1794.315,$1760.5201
01/08/2021,$1807.21,0,$1787.98,$1809.84,$1773.535
01/07/2021,$1787.25,-0.2263,$1740.06,$1788.4,$1737.05
01/06/2021,$1735.29,0,$1702.63,$1748,$1699
01/05/2021,$1740.92,0,$1725,$1747.67,$1718.015
01/04/2021,$1728.24,0,$1757.54,$1760.65,$1707.85
12/31/2020,$1751.88,0,$1735.42,$1758.93,$1735.42
12/30/2020,$1739.52,0,$1762.01,$1765.095,$1725.6
12/29/2020,$1758.72,-0.3078,$1787.79,$1792.44,$1756.09
12/28/2020,$1776.09,-0.128,$1751.635,$1790.7276,$1746.335
12/24/2020,$1738.85,0.3612,$1735,$1746,$1729.11
12/23/2020,$1732.38,0,$1728.11,$1747.99,$1725.04
12/22/2020,$1723.5,0.5267,$1734.43,$1737.405,$1712.575
