Date,Close,Compound,Open,High,Low
03/11/2021,$237.13,0,$234.96,$239.17,$234.31
03/10/2021,$232.42,-0.3182,$237,$237,$232.04
03/09/2021,$233.78,0,$232.88,$235.3839,$231.67
03/08/2021,$227.39,0.0258,$231.37,$233.365,$227.13
03/05/2021,$231.6,0.2732,$229.517,$233.27,$226.46
03/04/2021,$226.73,0,$226.735,$232.49,$224.26
03/03/2021,$227.56,0,$232.155,$233.5799,$227.26
03/02/2021,$233.87,0.4215,$237.01,$237.3,$233.45
03/01/2021,$236.94,0.3612,$235.9,$237.47,$233.15
02/26/2021,$232.38,0.3612,$231.525,$235.37,$229.54
02/25/2021,$228.99,-0.6908,$232.08,$234.5852,$227.88
02/24/2021,$234.55,-0.6908,$230.01,$235.2,$229
02/23/2021,$233.27,0.5859,$230.325,$234.83,$228.73
02/22/2021,$234.51,0.2023,$237.42,$237.93,$232.4
02/19/2021,$240.97,0.5106,$243.75,$243.86,$240.18
02/18/2021,$243.79,0,$241.8,$243.93,$240.86
02/17/2021,$244.2,0,$241.32,$244.31,$240.94
02/16/2021,$243.7,-0.2263,$245.03,$246.13,$242.92
02/12/2021,$244.99,0.4404,$243.933,$245.3,$242.73
02/11/2021,$244.49,0.5023,$244.78,$245.15,$242.15
02/10/2021,$242.82,0.4215,$245,$245.92,$240.89
02/09/2021,$243.77,0.0258,$241.87,$244.76,$241.38
02/08/2021,$242.47,0,$243.15,$243.68,$240.81
02/05/2021,$242.2,0.3818,$242.23,$243.28,$240.42
02/04/2021,$242.01,0.2732,$242.66,$243.2399,$240.37
02/03/2021,$243,0,$239.57,$245.09,$239.26
02/02/2021,$239.51,0,$241.3,$242.31,$238.69
02/01/2021,$239.65,0.7184,$235.06,$242.5,$232.43
01/29/2021,$231.96,0,$235.99,$238.02,$231.35
01/28/2021,$238.93,0.3818,$235.61,$242.64,$235.09
01/27/2021,$232.9,0.34,$238,$240.44,$230.14
01/26/2021,$232.33,0,$231.86,$234.18,$230.08
01/25/2021,$229.53,0.25,$229.12,$229.78,$224.22
01/22/2021,$225.95,0.34,$227.08,$230.07,$225.8
01/21/2021,$224.97,0.34,$224.7,$226.3,$222.42
01/20/2021,$224.34,0,$217.7,$225.79,$217.2908
01/19/2021,$216.44,0,$213.75,$216.98,$212.63
01/15/2021,$212.65,0,$213.52,$214.51,$212.03
01/14/2021,$213.02,0,$215.91,$217.46,$212.74
01/13/2021,$216.34,0.6597,$214.02,$216.76,$213.9266
01/12/2021,$214.93,0.1779,$216.5,$217.1,$213.3202
01/11/2021,$217.49,0.6486,$218.47,$218.91,$216.73
01/08/2021,$219.62,0.1779,$218.68,$220.58,$217.0261
01/07/2021,$218.29,0.296,$214.04,$219.34,$213.71
01/06/2021,$212.25,0,$212.17,$216.4899,$211.94
01/05/2021,$217.9,0,$217.26,$218.52,$215.7
01/04/2021,$217.69,0,$222.53,$223,$214.81
12/31/2020,$222.42,0,$221.7,$223,$219.68
12/30/2020,$221.68,0.6249,$225.23,$225.63,$221.47
12/29/2020,$224.15,0,$226.31,$227.18,$223.58
12/28/2020,$224.96,0,$224.45,$226.03,$223.02
12/24/2020,$222.75,0,$221.42,$223.61,$221.2
12/23/2020,$221.02,-0.3818,$223.11,$223.5589,$220.8
12/22/2020,$223.94,-0.3818,$222.69,$225.63,$221.85
12/21/2020,$222.59,-0.3818,$217.55,$224,$217.2801
12/18/2020,$218.59,0.4404,$218.59,$219.69,$216.02
12/17/2020,$219.42,0,$219.87,$220.89,$217.92
12/16/2020,$219.28,0,$214.75,$220.11,$214.72
12/15/2020,$214.13,0,$215.165,$215.42,$212.24
12/14/2020,$214.2,0.7269,$213.1,$216.21,$212.88
12/11/2020,$213.26,0,$210.05,$213.32,$209.11
12/10/2020,$210.52,0.5106,$211.77,$213.08,$210.36
12/09/2020,$211.8,0,$215.16,$215.225,$211.214
12/08/2020,$216.01,0,$213.97,$216.95,$212.89
12/07/2020,$214.29,0,$214.37,$215.54,$212.99
12/04/2020,$214.36,0.34,$214.22,$215.38,$213.18
12/03/2020,$214.24,0.34,$214.61,$216.3757,$213.65
12/02/2020,$215.37,0,$214.88,$215.47,$212.8
12/01/2020,$216.21,0.296,$214.51,$217.32,$213.35
11/30/2020,$214.07,0,$214.1,$214.76,$210.835
11/27/2020,$215.23,-0.34,$214.85,$216.27,$214.04
11/25/2020,$213.87,0.5106,$215.11,$215.29,$212.46
11/24/2020,$213.86,0,$209.59,$214.25,$208.86
11/23/2020,$210.11,0,$210.95,$212.29,$208.16
11/20/2020,$210.39,0,$212.2,$213.285,$210
11/19/2020,$212.42,0,$211.38,$213.03,$209.93
11/18/2020,$211.08,0,$213.65,$215.17,$210.93
11/17/2020,$214.46,0,$216.1,$217.68,$214.08
11/16/2020,$217.23,0,$214.87,$217.74,$214.52
11/13/2020,$216.51,0.6369,$216.36,$217.42,$214.16
11/12/2020,$215.44,0,$217.21,$219.11,$214.46
11/11/2020,$216.55,0.2023,$212.39,$218.04,$212.2
11/10/2020,$211.01,0.34,$214.5,$216.5,$209.72
11/09/2020,$218.39,0.4404,$224.435,$228.12,$217.88
11/06/2020,$223.72,-0.5859,$222.26,$224.36,$218.03
11/05/2020,$223.29,0,$222.04,$224.12,$221.15
11/04/2020,$216.39,0,$214.02,$218.32,$212.4185
11/03/2020,$206.43,0.5267,$203.89,$208.12,$203.12
11/02/2020,$202.33,0,$204.29,$205.28,$200.12
10/30/2020,$202.47,0,$203.5,$204.29,$199.62
10/29/2020,$204.72,0,$204.07,$207.36,$203.37
10/28/2020,$202.68,0.34,$207.67,$208.84,$202.1
10/27/2020,$213.25,0.4215,$211.59,$214.67,$210.329
10/26/2020,$210.08,0,$213.85,$216.3399,$208.1
10/23/2020,$216.23,0,$215.03,$216.28,$213.16
10/22/2020,$214.89,0,$213.93,$216.055,$211.7
10/21/2020,$214.8,0.3818,$213.12,$216.92,$213.12
10/20/2020,$214.65,0,$215.8,$217.37,$213.0901
10/19/2020,$214.22,0,$220.415,$222.3,$213.72
10/16/2020,$219.66,0.128,$220.15,$222.29,$219.32
10/15/2020,$219.66,0.128,$217.1,$220.36,$216.01
10/14/2020,$220.86,-0.7964,$223,$224.22,$219.13
10/13/2020,$222.86,-0.7783,$222.72,$225.21,$220.43
