Date,Close,Compound,Open,High,Low
03/11/2021,$523.06,0,$512.205,$530.235,$510.71
03/10/2021,$504.54,0.0258,$513.5,$518.97,$504.25
03/09/2021,$506.44,0.2732,$507.31,$513.11,$503.8221
03/08/2021,$493.33,0,$514.46,$518.84,$492.85
03/05/2021,$516.39,0,$511.98,$517.76,$498.7901
03/04/2021,$511.29,0.4215,$521.5,$531.5,$507.68
03/03/2021,$520.7,0.3612,$545.93,$548.005,$517.81
03/02/2021,$547.82,0.3612,$553.34,$556.99,$546.02
03/01/2021,$550.64,-0.6908,$545.573,$552.14,$542
02/26/2021,$538.85,-0.6908,$546.51,$553.09,$538
02/25/2021,$546.7,0.5859,$550.27,$556.48,$535.75
02/24/2021,$553.41,0.2023,$539.8,$556.8499,$539.065
02/23/2021,$546.15,0.5106,$525.004,$548.54,$518.28
02/22/2021,$533.78,0,$534.99,$541.79,$530.79
02/19/2021,$540.22,0,$548,$548.99,$538.8132
02/18/2021,$548.22,-0.2263,$549,$550,$538.2265
02/17/2021,$551.34,0.4404,$550.99,$555.25,$543.03
02/16/2021,$557.28,0.5023,$557.286,$563.63,$552.73
02/12/2021,$556.52,0.4215,$556.94,$561.2499,$550.85
02/11/2021,$557.59,0.0258,$564.442,$565.93,$554.22
02/10/2021,$563.59,0,$562.5,$566.65,$553.463
02/09/2021,$559.07,0.3818,$546,$566,$543
02/08/2021,$547.92,0.2732,$555,$555,$543.7
02/05/2021,$550.79,0,$552.26,$554.44,$545.4778
02/04/2021,$552.16,0,$539.81,$559.48,$537.51
02/03/2021,$539.45,0.7184,$550.17,$550.48,$538.243
02/02/2021,$548.16,0,$542.01,$555.48,$538.935
02/01/2021,$539.04,0.3818,$536.79,$545.06,$531.73
01/29/2021,$532.39,0.34,$538,$541,$530.18
01/28/2021,$538.6,0,$535.88,$553.1482,$530.74
01/27/2021,$523.28,0.25,$550.71,$556.4187,$515.73
01/26/2021,$561.93,0.34,$554.73,$567.99,$554.06
01/25/2021,$556.78,0.34,$567,$569.75,$548.65
01/22/2021,$565.17,0,$582.1,$583.99,$564.35
01/21/2021,$579.84,0,$582.45,$588.75,$570.4
01/20/2021,$586.34,0,$565.42,$593.2877,$556.86
01/19/2021,$501.77,0,$501,$509.25,$493.5427
01/15/2021,$497.98,0.6597,$500,$506.32,$495.1
01/14/2021,$500.86,0.1779,$507.35,$514.5,$499.58
01/13/2021,$507.79,0.6486,$495.5012,$512.3542,$493.01
01/12/2021,$494.25,0.1779,$500,$501.09,$485.6701
01/11/2021,$499.1,0.296,$507.84,$510.725,$497.95
01/08/2021,$510.4,0,$511.31,$513.24,$504.51
01/07/2021,$508.89,0,$508.28,$516.44,$506.42
01/06/2021,$500.49,0,$511.97,$513.0998,$499.5
01/05/2021,$520.8,0,$521.55,$526.78,$515.89
01/04/2021,$522.86,0.6249,$539,$540.8,$515.085
12/31/2020,$540.73,0,$525.53,$545.5,$523.1502
12/30/2020,$524.59,0,$530.13,$533.2575,$523.69
12/29/2020,$530.87,0,$519.9,$536.5478,$515.4801
12/28/2020,$519.12,-0.3818,$516.43,$523.66,$507.13
12/24/2020,$513.97,-0.3818,$515.12,$519.345,$512.2104
12/23/2020,$514.48,-0.3818,$524.76,$526.32,$514.2
12/22/2020,$527.33,0.4404,$527.69,$530.4,$520.5
12/21/2020,$528.91,0,$530.05,$532.62,$521.15
12/18/2020,$534.45,0,$533.2,$536.37,$526.02
12/17/2020,$532.9,0,$529,$535.49,$526.44
12/16/2020,$524.83,0.7269,$520.11,$527.38,$517.69
12/15/2020,$519.78,0,$518.5,$524.7,$513.56
12/14/2020,$522.42,0.5106,$505.44,$524.1603,$501.18
12/11/2020,$503.22,0,$495,$503.34,$494.85
12/10/2020,$501.09,0,$494.56,$503.77,$492.91
12/09/2020,$493.6,0,$510.53,$514.5,$491.29
12/08/2020,$512.66,0.34,$517.9,$521.4909,$505.55
12/07/2020,$515.78,0.34,$500.01,$517.76,$497.77
12/04/2020,$498.31,0,$497.5,$504.5,$493.64
12/03/2020,$497.52,0.296,$502.99,$508.77,$496.04
12/02/2020,$503.38,0,$501.62,$506.795,$493.5
12/01/2020,$504.58,-0.34,$492.3404,$509.47,$491.9812
11/30/2020,$490.7,0.5106,$490.08,$492.55,$481.2678
11/27/2020,$491.36,0,$486.58,$493.25,$481.845
11/25/2020,$485,0,$485.13,$486.9,$478.919
11/24/2020,$482.88,0,$478.84,$484.05,$475.89
11/23/2020,$476.62,0,$490.46,$491.15,$475.84
11/20/2020,$488.24,0,$485.22,$494.76,$481.57
11/19/2020,$484.67,0,$482,$487.8,$480.47
11/18/2020,$481.79,0,$481.95,$488.61,$477.7212
11/17/2020,$480.63,0.6369,$480.12,$487.51,$478.8525
11/16/2020,$479.1,0,$480,$485.58,$477.3
11/13/2020,$482.84,0.2023,$486.77,$488.94,$477.8
11/12/2020,$486.77,0.34,$491,$496.52,$480.4255
11/11/2020,$490.76,0.4404,$483,$491.68,$478.26
11/10/2020,$480.24,-0.5859,$470.95,$484.6,$463.41
11/09/2020,$470.5,0,$485.54,$495.85,$467.26
11/06/2020,$514.73,0,$515,$515.21,$502.51
11/05/2020,$513.76,0.5267,$506.56,$518.7337,$503.45
11/04/2020,$496.95,0,$495.36,$507.73,$493.98
11/03/2020,$487.22,0,$484.93,$495.305,$478.76
11/02/2020,$484.12,0,$478.87,$486.3,$475
10/30/2020,$475.74,0.34,$502.01,$505.88,$472.21
10/29/2020,$504.21,0.4215,$488.5,$513.8999,$479.34
10/28/2020,$486.24,0,$486.36,$494,$483.28
10/27/2020,$488.93,0,$490.01,$490.49,$482.93
10/26/2020,$488.24,0,$487.025,$496.82,$478.9
10/23/2020,$488.28,0.3818,$488.11,$490.06,$481.35
10/22/2020,$485.23,0,$494.69,$495.14,$482
10/21/2020,$489.05,0,$501.03,$506.85,$488.25
10/20/2020,$525.42,0.128,$528.14,$533.78,$522.26
10/19/2020,$530.72,0.128,$537.07,$541.8,$525.38
10/16/2020,$530.79,-0.7964,$549.5,$554.33,$530.03
10/15/2020,$541.94,-0.7783,$545.52,$551.22,$535.1
10/14/2020,$541.45,-0.8481,$562.61,$572.49,$541
10/13/2020,$554.09,-0.4215,$540.56,$557.65,$537.2
10/12/2020,$539.81,-0.5267,$548.81,$551.81,$538.24
10/09/2020,$539.44,-0.5267,$537.834,$544.28,$535
10/08/2020,$531.79,-0.5267,$533.48,$535,$524.15
10/07/2020,$534.66,0,$518,$536.49,$515.815
10/06/2020,$505.87,0.6124,$518.72,$521.82,$504.16
10/05/2020,$520.65,0,$506.8,$520.99,$501.6997
10/02/2020,$503.06,0.0772,$516.43,$526.3714,$502.7
10/01/2020,$527.51,0.4927,$506.03,$529.55,$503.6
09/30/2020,$500.03,0.0772,$492.57,$504.63,$489.2704
09/29/2020,$493.48,-0.2023,$489.5,$496.2868,$486.53
09/28/2020,$490.65,-0.7579,$489.109,$492,$477.88
09/25/2020,$482.88,0.2732,$474.39,$484.87,$468.0258
09/24/2020,$473.08,0.2023,$470.53,$477,$467.82
09/23/2020,$470.61,0,$491.04,$491.04,$469
09/22/2020,$491.17,0,$489.01,$491.82,$479.26
09/21/2020,$487.35,0,$467.692,$487.775,$466.32
09/18/2020,$469.96,0,$472.51,$479.4,$458.6
09/17/2020,$470.2,0,$475.16,$478.4,$463.27
09/16/2020,$483.86,0,$499.99,$504.66,$483.31
09/15/2020,$495.99,0,$484,$497.47,$481.63
09/14/2020,$476.26,0,$480.62,$488.99,$471.3001
09/11/2020,$482.03,0.4449,$486.485,$493.73,$476.81
09/10/2020,$480.67,0.4215,$503.35,$506.29,$478.84
09/09/2020,$500.19,0.3182,$519.21,$520,$492.5743
09/08/2020,$507.02,0.1779,$498.4,$522,$495
09/04/2020,$516.05,0,$520.18,$527.36,$485.98
09/03/2020,$525.75,0.4404,$545,$554,$521.32
09/02/2020,$552.84,0.2263,$553.78,$556.5,$537.369
09/01/2020,$556.55,0,$532.6,$557.3895,$532.45
08/31/2020,$529.56,-0.3182,$521.16,$531.99,$517.58
08/28/2020,$523.89,0,$532,$539,$522
08/27/2020,$526.27,0,$537.775,$541,$521.2471
08/26/2020,$547.53,0,$492.5,$549.04,$492.075
08/25/2020,$490.58,0,$488.19,$492.47,$485.09
08/24/2020,$488.81,-0.0516,$495.438,$501,$483.16
08/21/2020,$492.31,0.5106,$496.46,$498.13,$490
08/20/2020,$497.9,-0.128,$484.69,$498.94,$483.89
08/19/2020,$484.53,0,$493.93,$494.4985,$483.5
08/18/2020,$491.87,-0.128,$484.35,$495.3,$482.8
08/17/2020,$482.35,-0.4902,$484.19,$486.24,$479.1
08/14/2020,$482.68,0.5574,$482.82,$488.325,$480.21
08/13/2020,$481.33,-0.296,$478.4,$484.45,$476.45
08/12/2020,$475.47,-0.296,$471.34,$482.49,$470.18
08/11/2020,$466.93,0,$479.75,$480.92,$466.55
08/10/2020,$483.38,0,$493.35,$497.4584,$478.6269
08/07/2020,$494.73,0,$505.45,$508.29,$486.68
08/06/2020,$509.08,-0.296,$504.11,$510.82,$498.7
08/05/2020,$502.11,0,$508.68,$510.1021,$501.2
08/04/2020,$509.64,0,$498.65,$510.4436,$498.65
08/03/2020,$498.62,0.2023,$490.86,$503.09,$490.23
07/31/2020,$488.88,0.6597,$488.29,$494.8,$484.5
07/30/2020,$485.8,0.5106,$480.7072,$488.35,$477.5101
07/29/2020,$484.48,0.296,$492.25,$494.92,$484.13
07/28/2020,$488.51,-0.5859,$496.02,$497.7927,$487.7601
07/27/2020,$495.65,0,$484.51,$496.92,$482.31
07/24/2020,$480.45,0.3612,$468.77,$487.17,$467.54
07/23/2020,$477.58,0.2023,$491.13,$491.9,$472.0201
07/22/2020,$489.82,-0.128,$492.19,$497.2,$487.2
07/21/2020,$490.1,0.1386,$506,$506.22,$488.61
07/20/2020,$502.41,0,$489.14,$504.5,$484.2001
07/17/2020,$492.99,0,$494.87,$503.59,$484.14
07/16/2020,$527.39,0,$526.48,$535.54,$504.3627
07/15/2020,$523.26,0,$516.3,$529,$510.18
07/14/2020,$524.88,0,$517.08,$525.5,$490.49
07/13/2020,$525.5,0,$567.98,$575.37,$520.96
07/10/2020,$548.73,0.25,$519.73,$555.8799,$511.28
07/09/2020,$507.76,-0.1531,$508.4,$510,$495.78
07/08/2020,$502.78,0.3612,$498.576,$505.1,$493.81
07/07/2020,$493.16,0,$497.311,$504.82,$490.83
07/06/2020,$493.81,0,$480.77,$499.5,$479.8
07/02/2020,$476.89,0,$485.64,$492.28,$475.5258
07/01/2020,$485.64,0.2023,$454,$488.23,$454
06/30/2020,$455.04,0,$450.02,$457.59,$447
06/29/2020,$447.24,-0.4767,$445.23,$447.67,$432.14
06/26/2020,$443.4,0.0772,$466.39,$468.03,$442.24
06/25/2020,$465.91,0,$458.86,$467.01,$454
06/24/2020,$457.85,-0.5719,$468.54,$472.36,$454
06/23/2020,$466.26,-0.1779,$466.5,$474.01,$464.5
06/22/2020,$468.04,0.34,$455.01,$468.59,$454.21
06/19/2020,$453.72,-0.296,$449.12,$453.97,$445.6
06/18/2020,$449.87,0.6249,$448.73,$452.76,$442.8
06/17/2020,$447.77,-0.4404,$441.82,$450.46,$439.22
06/16/2020,$436.13,0,$425.76,$437.96,$425.18
06/15/2020,$425.5,0.2023,$421.4,$426.49,$415.4238
06/12/2020,$418.07,0.3818,$429,$434.06,$412.45
06/11/2020,$425.56,0.6124,$428.2,$445.57,$424.1601
06/10/2020,$434.48,-0.3875,$436,$439.69,$430.55
06/09/2020,$434.05,-0.5719,$421.65,$434.73,$420.31
06/08/2020,$419.49,0,$416,$420.8,$406.5
06/05/2020,$419.6,0.1531,$407.29,$420.2392,$404.25
06/04/2020,$414.33,0,$422.39,$428.71,$410.03
06/03/2020,$421.97,0.296,$426.95,$427.1,$418.05
06/02/2020,$427.31,0.6597,$425.87,$427.59,$419.46
06/01/2020,$425.92,0.4939,$418.83,$426.72,$415.98
05/29/2020,$419.73,0.34,$417.46,$420.295,$411.85
05/28/2020,$413.44,0,$417.24,$422.3717,$411.5
05/27/2020,$419.89,0.5719,$410.38,$420.02,$397.86
05/26/2020,$414.77,0.1531,$427.77,$428.5,$413.14
05/22/2020,$429.32,-0.1027,$437,$439.09,$427.18
05/21/2020,$436.25,0.3182,$448.56,$448.96,$430.25
05/20/2020,$447.67,0.1531,$454.25,$455.81,$444
05/19/2020,$451.04,0.1531,$453.397,$458.97,$450.465
05/18/2020,$452.58,0.34,$451.16,$456.36,$443.35
05/15/2020,$454.19,-0.34,$440.7,$455,$437.51
05/14/2020,$441.95,0.128,$444.9,$452.38,$432.82
05/13/2020,$438.27,0.3612,$435.69,$447,$427.27
05/12/2020,$431.82,-0.34,$442,$444.17,$431.36
05/11/2020,$440.52,0,$436.33,$444.8899,$435.56
05/08/2020,$435.55,0.2023,$434.14,$442,$433.6389
05/07/2020,$436.53,-0.34,$436.89,$438.88,$430.66
05/06/2020,$434.26,0.2023,$429.3,$439.77,$426.385
05/05/2020,$424.68,0,$427.555,$431,$421.56
05/04/2020,$428.15,0.1531,$417.78,$428.54,$414.87
05/01/2020,$415.27,-0.296,$415.1,$427.97,$411.73
04/30/2020,$419.85,0.1779,$410.31,$424.44,$408
04/29/2020,$411.89,0,$399.53,$415.86,$393.6
04/28/2020,$403.83,0.5106,$419.99,$421,$402.9101
04/27/2020,$421.38,0,$425,$429,$420.84
04/24/2020,$424.99,0,$425,$427.17,$415.88
04/23/2020,$426.7,0,$419.26,$438.413,$419.26
04/22/2020,$421.42,0.2023,$429.725,$433,$413
04/21/2020,$433.83,0.1779,$444.77,$447,$425.6
04/20/2020,$437.49,0,$435.17,$444.49,$430.56
04/17/2020,$422.96,0.1779,$431,$432,$414.695
04/16/2020,$439.17,0.1779,$437,$449.52,$431.61
04/15/2020,$426.75,-0.296,$413,$434.98,$412.25
04/14/2020,$413.55,0.1779,$397.5,$417.82,$394.8468
04/13/2020,$396.72,0.4767,$371.31,$400.51,$367.7003
04/09/2020,$370.72,0,$371.06,$372.1,$363.03
04/08/2020,$371.12,0.1779,$374.01,$378.39,$368.31
04/07/2020,$372.28,0.3818,$380,$381.33,$369.34
04/06/2020,$379.96,0.34,$365.22,$380.29,$361.71
04/03/2020,$361.76,0,$367.47,$370.9,$357.51
04/02/2020,$370.08,0,$364.08,$370.99,$360.06
04/01/2020,$364.08,0.5719,$376.05,$380.233,$361.02
03/31/2020,$375.5,0,$367.93,$383.01,$366.44
03/30/2020,$370.96,0.4215,$363,$377.8,$361.17
03/27/2020,$357.12,0.6369,$359.09,$368.56,$353
03/26/2020,$362.99,0.1779,$344,$363.84,$341.73
03/25/2020,$342.39,0.1779,$361.02,$362,$339.17
03/24/2020,$357.32,0,$369.99,$372.93,$353.0301
03/23/2020,$360.27,0.4939,$347.89,$366.11,$340.8838
03/20/2020,$332.83,0.296,$342.31,$350.49,$332
03/19/2020,$332.03,0,$324.33,$348.51,$316.82
03/18/2020,$315.47,0.1779,$302.395,$331.5794,$300
03/17/2020,$319.75,0.1779,$306.19,$322.9,$290.25
03/16/2020,$298.84,0,$306.63,$334.35,$294.75
03/13/2020,$336.295,0,$330.51,$336.42,$307.39
03/12/2020,$315.25,0.1779,$326.5,$335.72,$307.32
